yr,quarter,countryi,countryj,exp_ij,wdist_ij,gdp_i,gdp_j,gdpcap_i,gdpcap_j,pop_i,pop_j,price_pi,price_pj,tr_mbs,cdt_mbs,WBCNon_NC,contig,com_lang,landlci,landlcj,Ke_ntb_ug1,Ke_ntb_eac1,Rw_ntb_ke,Ke_ntb_eac2,,,,,,,,,,,,,,,,
2017,Q3,KEN,UG,150954535,688,20.4307,8.7509,420,220,48693526,39788648,104,3600,44,136,13,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2017,Q4,KEN,UG,144148883,688,20.7195,7.8409,423,195,48948137,40127085,103,3621,47,90,14,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2018,Q1,KEN,UG,158851082,688,22.4538,8.1361,456,201,49231724,40499634,102,3616,48,92,15,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2018,Q2,KEN,UG,147436479,688,23.6403,8.2981,478,203,49471085,40835429,101,3756,46,93,21,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2018,Q3,KEN,UG,149895367,688,23.0850,9.0907,464,221,49711610,41174009,101,3761,45,115,15,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2018,Q4,KEN,UG,154756739,688,23.0613,8.5951,462,207,49953304,41515395,102,3743,46,98,20,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2019,Q1,KEN,UG,162177677,688,24.6610,8.7280,491,208,50201420,41876061,101,3694,45,92,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2019,Q2,KEN,UG,143673855,688,25.6314,8.9406,508,212,50450195,42230722,101,3745,51,89,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2019,Q3,KEN,UG,158541339,688,24.8063,10.2704,489,241,50700203,42588386,103,3688,44,88,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2019,Q4,KEN,UG,162986997,688,25.3330,9.8456,497,229,50951450,42949080,102,3689,46,110,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2020,Q1,KEN,UG,185450283,688,26.9232,9.1053,526,210,51211110,43355918,102,3706,41,98,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2020,Q2,KEN,UG,119344851,688,24.5521,8.4268,477,193,51468042,43702701,106,3767,54,105,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
